文件路径,识别结果,位置,置信度,用时
Camera: 0,打哈欠,"[337, 5, 553, 545]",0.43051159381866455,0.02202153205871582
Camera: 0,睁眼,"[502, 117, 546, 171]",0.3529031574726105,0.017000675201416016
Camera: 0,睁眼,"[397, 113, 466, 177]",0.38107940554618835,0.017000675201416016
Camera: 0,打哈欠,"[337, 5, 553, 545]",0.4305594265460968,0.017000675201416016
Camera: 0,睁眼,"[502, 117, 546, 171]",0.35293638706207275,0.14491748809814453
Camera: 0,睁眼,"[397, 113, 466, 177]",0.38106852769851685,0.14491748809814453
Camera: 0,打哈欠,"[337, 5, 553, 545]",0.43046799302101135,0.14491748809814453
Camera: 0,睁眼,"[502, 117, 546, 172]",0.3530452847480774,0.02199840545654297
Camera: 0,睁眼,"[397, 113, 466, 177]",0.3814569115638733,0.02199840545654297
Camera: 0,打哈欠,"[337, 5, 553, 545]",0.430672824382782,0.02199840545654297
Camera: 0,睁眼,"[228, 79, 302, 149]",0.3549851179122925,0.02299952507019043
Camera: 0,睁眼,"[340, 74, 401, 140]",0.3644005358219147,0.02299952507019043
Camera: 0,打哈欠,"[224, 1, 414, 506]",0.47700825333595276,0.02299952507019043
Camera: 0,睁眼,"[228, 79, 302, 149]",0.354971706867218,0.01600027084350586
Camera: 0,睁眼,"[340, 74, 401, 140]",0.36437833309173584,0.01600027084350586
Camera: 0,打哈欠,"[224, 1, 414, 506]",0.47703754901885986,0.01600027084350586
Camera: 0,睁眼,"[228, 79, 302, 149]",0.3549865186214447,0.01799917221069336
Camera: 0,睁眼,"[340, 74, 401, 140]",0.36438730359077454,0.01799917221069336
Camera: 0,打哈欠,"[224, 1, 414, 506]",0.47703489661216736,0.01799917221069336
Camera: 0,睁眼,"[228, 79, 302, 149]",0.35498520731925964,0.018029212951660156
Camera: 0,睁眼,"[340, 74, 401, 140]",0.36439013481140137,0.018029212951660156
Camera: 0,打哈欠,"[224, 1, 414, 506]",0.47704166173934937,0.018029212951660156
Camera: 0,睁眼,"[228, 79, 302, 149]",0.3550384044647217,0.025373458862304688
Camera: 0,睁眼,"[340, 74, 401, 140]",0.36443331837654114,0.025373458862304688
Camera: 0,打哈欠,"[224, 1, 414, 506]",0.4770643413066864,0.025373458862304688
Camera: 0,睁眼,"[339, 72, 399, 139]",0.3660348355770111,0.01799917221069336
Camera: 0,睁眼,"[223, 79, 300, 150]",0.3678185045719147,0.01799917221069336
Camera: 0,打哈欠,"[222, 1, 412, 504]",0.4659237563610077,0.01799917221069336
Camera: 0,睁眼,"[339, 72, 399, 139]",0.3660399615764618,0.023000001907348633
Camera: 0,睁眼,"[223, 79, 300, 150]",0.36782151460647583,0.023000001907348633
Camera: 0,打哈欠,"[222, 1, 412, 504]",0.46595168113708496,0.023000001907348633
Camera: 0,睁眼,"[339, 72, 399, 139]",0.36607202887535095,0.018000125885009766
Camera: 0,睁眼,"[223, 79, 300, 150]",0.3678545355796814,0.018000125885009766
Camera: 0,打哈欠,"[222, 1, 412, 504]",0.4659269154071808,0.018000125885009766
Camera: 0,睁眼,"[339, 72, 399, 139]",0.3660624027252197,0.02299785614013672
Camera: 0,睁眼,"[223, 79, 300, 150]",0.36781609058380127,0.02299785614013672
Camera: 0,打哈欠,"[222, 1, 412, 504]",0.4659058153629303,0.02299785614013672
Camera: 0,睁眼,"[339, 72, 399, 139]",0.3660585582256317,0.019998550415039062
Camera: 0,睁眼,"[223, 79, 300, 150]",0.3677250146865845,0.019998550415039062
Camera: 0,打哈欠,"[222, 1, 412, 504]",0.46592506766319275,0.019998550415039062
Camera: 0,睁眼,"[339, 73, 399, 139]",0.3619416058063507,0.0189969539642334
Camera: 0,睁眼,"[224, 79, 300, 149]",0.3738442361354828,0.0189969539642334
Camera: 0,打哈欠,"[222, 1, 412, 504]",0.46919405460357666,0.0189969539642334
Camera: 0,睁眼,"[339, 73, 399, 139]",0.3614017069339752,0.016999244689941406
Camera: 0,睁眼,"[224, 79, 300, 149]",0.3719460964202881,0.016999244689941406
Camera: 0,打哈欠,"[222, 1, 412, 504]",0.46924781799316406,0.016999244689941406
Camera: 0,睁眼,"[339, 73, 399, 139]",0.3638322651386261,0.019997358322143555
Camera: 0,睁眼,"[224, 79, 300, 149]",0.37572717666625977,0.019997358322143555
Camera: 0,打哈欠,"[222, 1, 412, 504]",0.468840628862381,0.019997358322143555
Camera: 0,睁眼,"[339, 73, 399, 139]",0.3638341426849365,0.016996383666992188
Camera: 0,睁眼,"[224, 79, 300, 149]",0.3757050335407257,0.016996383666992188
Camera: 0,打哈欠,"[222, 1, 412, 504]",0.46883416175842285,0.016996383666992188
Camera: 0,睁眼,"[339, 73, 399, 139]",0.36390411853790283,0.02119612693786621
Camera: 0,睁眼,"[224, 79, 300, 149]",0.3758002817630768,0.02119612693786621
Camera: 0,打哈欠,"[222, 1, 412, 504]",0.4688085615634918,0.02119612693786621
Camera: 0,睁眼,"[228, 83, 301, 150]",0.3417922854423523,0.019997119903564453
Camera: 0,睁眼,"[340, 76, 402, 142]",0.3479437828063965,0.019997119903564453
Camera: 0,打哈欠,"[224, 1, 414, 506]",0.4859197735786438,0.019997119903564453
Camera: 0,睁眼,"[228, 83, 301, 150]",0.3417462706565857,0.025698423385620117
Camera: 0,睁眼,"[340, 76, 402, 142]",0.34792643785476685,0.025698423385620117
Camera: 0,打哈欠,"[224, 1, 414, 506]",0.48591330647468567,0.025698423385620117
Camera: 0,睁眼,"[228, 83, 301, 150]",0.34176579117774963,0.0209963321685791
Camera: 0,睁眼,"[340, 76, 402, 142]",0.3479361832141876,0.0209963321685791
Camera: 0,打哈欠,"[224, 1, 414, 506]",0.4859239459037781,0.0209963321685791
Camera: 0,睁眼,"[228, 83, 301, 150]",0.3417849838733673,0.05899691581726074
Camera: 0,睁眼,"[340, 76, 402, 142]",0.3479238748550415,0.05899691581726074
Camera: 0,打哈欠,"[224, 1, 414, 506]",0.48592257499694824,0.05899691581726074
Camera: 0,睁眼,"[228, 83, 301, 150]",0.3415083885192871,0.03999805450439453
Camera: 0,睁眼,"[340, 76, 402, 142]",0.3478890359401703,0.03999805450439453
Camera: 0,打哈欠,"[224, 1, 414, 506]",0.48607316613197327,0.03999805450439453
Camera: 0,睁眼,"[343, 74, 402, 139]",0.3442087471485138,0.04399704933166504
Camera: 0,睁眼,"[228, 79, 303, 148]",0.3547247648239136,0.04399704933166504
Camera: 0,打哈欠,"[224, 2, 414, 505]",0.47630611062049866,0.04399704933166504
Camera: 0,睁眼,"[343, 74, 402, 139]",0.34422919154167175,0.03299999237060547
Camera: 0,睁眼,"[228, 79, 303, 148]",0.3547264039516449,0.03299999237060547
Camera: 0,打哈欠,"[224, 2, 414, 505]",0.47630929946899414,0.03299999237060547
Camera: 0,睁眼,"[343, 74, 402, 139]",0.34402817487716675,0.018998146057128906
Camera: 0,睁眼,"[228, 79, 303, 148]",0.3547421097755432,0.018998146057128906
Camera: 0,打哈欠,"[224, 2, 414, 505]",0.4763120710849762,0.018998146057128906
Camera: 0,睁眼,"[343, 74, 402, 139]",0.3443729281425476,0.03195619583129883
Camera: 0,睁眼,"[228, 79, 303, 148]",0.35453879833221436,0.03195619583129883
Camera: 0,打哈欠,"[224, 2, 414, 505]",0.4766223728656769,0.03195619583129883
Camera: 0,睁眼,"[343, 74, 402, 139]",0.34403279423713684,0.028000831604003906
Camera: 0,睁眼,"[228, 79, 303, 148]",0.35419347882270813,0.028000831604003906
Camera: 0,打哈欠,"[224, 2, 414, 505]",0.4757423996925354,0.028000831604003906
Camera: 0,睁眼,"[227, 78, 301, 146]",0.3455803692340851,0.021001577377319336
Camera: 0,睁眼,"[341, 72, 401, 139]",0.358843058347702,0.021001577377319336
