                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.79858,                0.80867,                 1.2445,                0.49156,                0.72284,                0.61857,                0.42106,                 1.1201,                 1.4812,                  1.324,               0.004456,               0.004456,               0.004456
                     59,                 0.7994,                0.80685,                 1.2473,                0.48936,                0.72367,                0.62543,                0.42507,                 1.1172,                 1.4799,                 1.3203,               0.004357,               0.004357,               0.004357
                     60,                0.79306,                0.80511,                 1.2431,                0.48862,                0.72367,                 0.6264,                 0.4258,                 1.1203,                 1.4877,                 1.3247,               0.004258,               0.004258,               0.004258
                     61,                0.78632,                0.79075,                 1.2379,                0.49614,                0.72073,                 0.6228,                0.42105,                 1.1244,                 1.5039,                 1.3295,               0.004159,               0.004159,               0.004159
                     62,                0.79041,                  0.798,                  1.241,                0.49468,                0.72183,                0.62387,                0.42105,                 1.1262,                 1.4973,                 1.3298,                0.00406,                0.00406,                0.00406
                     63,                0.78185,                0.78754,                 1.2351,                0.49562,                0.72244,                0.62064,                0.42242,                 1.1265,                 1.5131,                 1.3279,               0.003961,               0.003961,               0.003961
                     64,                0.78404,                0.78604,                 1.2337,                0.49403,                0.72124,                0.61887,                 0.4224,                 1.1275,                 1.5201,                 1.3258,               0.003862,               0.003862,               0.003862
                     65,                0.77972,                0.78616,                 1.2306,                0.49415,                 0.7211,                0.61299,                0.41844,                 1.1327,                 1.5345,                 1.3293,               0.003763,               0.003763,               0.003763
                     66,                0.77689,                0.77047,                  1.229,                0.49352,                0.72008,                0.60939,                0.41719,                 1.1342,                 1.5399,                 1.3296,               0.003664,               0.003664,               0.003664
                     67,                0.77713,                0.77417,                 1.2289,                0.49414,                0.72057,                0.60804,                 0.4186,                 1.1356,                 1.5344,                 1.3311,               0.003565,               0.003565,               0.003565
                     68,                0.76843,                0.77917,                 1.2257,                0.49204,                0.72251,                0.61105,                0.42025,                 1.1375,                  1.529,                 1.3326,               0.003466,               0.003466,               0.003466
                     69,                0.76965,                0.76832,                 1.2251,                0.49174,                0.72399,                0.60979,                0.41999,                 1.1378,                 1.5333,                 1.3335,               0.003367,               0.003367,               0.003367
                     70,                0.76759,                0.76896,                 1.2217,                0.49305,                0.72395,                0.60897,                0.42066,                 1.1361,                   1.54,                 1.3325,               0.003268,               0.003268,               0.003268
                     71,                0.76857,                0.76224,                 1.2246,                 0.4899,                0.72483,                0.60746,                0.41863,                 1.1376,                 1.5486,                 1.3354,               0.003169,               0.003169,               0.003169
                     72,                0.76168,                 0.7605,                 1.2182,                0.48872,                0.72396,                0.60675,                0.41821,                 1.1369,                 1.5482,                 1.3349,                0.00307,                0.00307,                0.00307
                     73,                0.75041,                0.74656,                 1.2129,                0.48861,                0.72334,                0.60696,                0.41829,                 1.1378,                 1.5465,                 1.3354,               0.002971,               0.002971,               0.002971
                     74,                0.76005,                0.74166,                 1.2145,                 0.4882,                0.72395,                0.60456,                0.41764,                 1.1383,                 1.5455,                 1.3346,               0.002872,               0.002872,               0.002872
                     75,                0.75051,                0.73975,                 1.2102,                0.48961,                0.72256,                0.60364,                0.41499,                 1.1395,                 1.5466,                 1.3347,               0.002773,               0.002773,               0.002773
                     76,                0.74744,                0.73536,                 1.2123,                0.48959,                0.72451,                0.60946,                0.41861,                 1.1408,                 1.5425,                 1.3354,               0.002674,               0.002674,               0.002674
                     77,                0.74005,                0.73488,                 1.2047,                0.48826,                0.72563,                0.60544,                 0.4142,                 1.1416,                 1.5455,                 1.3357,               0.002575,               0.002575,               0.002575
                     78,                0.74225,                0.74008,                 1.2079,                0.48733,                0.72591,                  0.607,                0.41513,                 1.1415,                 1.5458,                 1.3353,               0.002476,               0.002476,               0.002476
                     79,                0.73837,                0.73258,                 1.2046,                0.48665,                0.72563,                0.60682,                0.41513,                 1.1419,                 1.5455,                  1.336,               0.002377,               0.002377,               0.002377
                     80,                0.73013,                 0.7284,                 1.1996,                0.48642,                0.72647,                0.60866,                0.41678,                 1.1424,                 1.5459,                 1.3364,               0.002278,               0.002278,               0.002278
                     81,                0.72941,                0.72499,                 1.1995,                0.48666,                0.72563,                0.60664,                0.41518,                 1.1419,                  1.549,                 1.3359,               0.002179,               0.002179,               0.002179
                     82,                0.72595,                0.71617,                 1.1977,                0.48749,                 0.7258,                0.60766,                0.41749,                 1.1422,                 1.5501,                 1.3356,                0.00208,                0.00208,                0.00208
                     83,                0.72253,                0.71303,                 1.1966,                0.48738,                0.72591,                 0.6067,                0.41591,                 1.1416,                 1.5523,                  1.335,               0.001981,               0.001981,               0.001981
                     84,                0.73066,                0.71741,                 1.1984,                0.48695,                0.72631,                0.60596,                0.41609,                 1.1419,                 1.5546,                 1.3354,               0.001882,               0.001882,               0.001882
                     85,                0.71497,                0.70579,                 1.1937,                0.48693,                0.72647,                 0.6077,                0.41767,                 1.1427,                 1.5548,                 1.3355,               0.001783,               0.001783,               0.001783
                     86,                0.71164,                0.70196,                 1.1885,                0.48759,                0.72652,                0.60842,                0.41855,                 1.1432,                 1.5566,                 1.3356,               0.001684,               0.001684,               0.001684
                     87,                 0.7148,                0.70638,                 1.1912,                0.48697,                0.72625,                0.60848,                0.41877,                 1.1431,                 1.5568,                 1.3355,               0.001585,               0.001585,               0.001585
                     88,                0.71552,                0.69781,                 1.1913,                0.48745,                 0.7264,                 0.6085,                0.41897,                 1.1435,                 1.5579,                 1.3354,               0.001486,               0.001486,               0.001486
                     89,                0.71087,                0.69453,                 1.1847,                0.48771,                0.72567,                0.60747,                0.41759,                 1.1443,                 1.5586,                 1.3356,               0.001387,               0.001387,               0.001387
                     90,                0.70507,                0.69719,                  1.188,                0.48779,                0.72585,                0.61027,                0.42041,                 1.1448,                 1.5579,                 1.3361,               0.001288,               0.001288,               0.001288
                     91,                0.80155,                0.64503,                 1.2975,                0.48655,                0.72563,                0.61079,                0.41961,                 1.1447,                 1.5594,                  1.336,               0.001189,               0.001189,               0.001189
                     92,                0.78239,                0.62362,                  1.282,                0.48662,                0.72563,                0.60924,                0.41761,                 1.1447,                 1.5609,                 1.3361,                0.00109,                0.00109,                0.00109
                     93,                0.77584,                0.61845,                 1.2744,                0.48581,                0.72551,                0.60904,                0.41775,                 1.1447,                 1.5599,                 1.3363,               0.000991,               0.000991,               0.000991
                     94,                0.76598,                0.61165,                 1.2712,                0.48564,                0.72526,                0.61069,                0.42059,                 1.1453,                 1.5616,                  1.337,               0.000892,               0.000892,               0.000892
